snapshot,zona,demand_mw
2026-03-09 00:00:00,BCA,1211.21
2026-03-09 01:00:00,BCA,1173.61
2026-03-09 02:00:00,BCA,1152.1
2026-03-09 03:00:00,BCA,1147.91
2026-03-09 04:00:00,BCA,1177.72
2026-03-09 05:00:00,BCA,1245.84
2026-03-09 06:00:00,BCA,1367.86
2026-03-09 07:00:00,BCA,1468.69
2026-03-09 08:00:00,BCA,1521.6
2026-03-09 09:00:00,BCA,1555.38
2026-03-09 10:00:00,BCA,1595.71
2026-03-09 11:00:00,BCA,1629.15
2026-03-09 12:00:00,BCA,1660.02
2026-03-09 13:00:00,BCA,1682.17
2026-03-09 14:00:00,BCA,1703.6
2026-03-09 15:00:00,BCA,1715.41
2026-03-09 16:00:00,BCA,1709.9
2026-03-09 17:00:00,BCA,1744.11
2026-03-09 18:00:00,BCA,1763.68
2026-03-09 19:00:00,BCA,1749.99
2026-03-09 20:00:00,BCA,1726.58
2026-03-09 21:00:00,BCA,1663.05
2026-03-09 22:00:00,BCA,1566.26
2026-03-09 23:00:00,BCA,1469.86
2026-03-09 00:00:00,BCS,272.25
2026-03-09 01:00:00,BCS,261.54
2026-03-09 02:00:00,BCS,252.29
2026-03-09 03:00:00,BCS,248.08
2026-03-09 04:00:00,BCS,247.89
2026-03-09 05:00:00,BCS,258.75
2026-03-09 06:00:00,BCS,275.94
2026-03-09 07:00:00,BCS,290.59
2026-03-09 08:00:00,BCS,307.48
2026-03-09 09:00:00,BCS,322.67
2026-03-09 10:00:00,BCS,332.04
2026-03-09 11:00:00,BCS,338.79
2026-03-09 12:00:00,BCS,342.5
2026-03-09 13:00:00,BCS,346.83
2026-03-09 14:00:00,BCS,351.84
2026-03-09 15:00:00,BCS,356.0
2026-03-09 16:00:00,BCS,356.94
2026-03-09 17:00:00,BCS,355.25
2026-03-09 18:00:00,BCS,364.84
2026-03-09 19:00:00,BCS,365.1
2026-03-09 20:00:00,BCS,355.78
2026-03-09 21:00:00,BCS,341.01
2026-03-09 22:00:00,BCS,316.67
2026-03-09 23:00:00,BCS,290.66
2026-03-09 00:00:00,SIN,4286.79
2026-03-09 01:00:00,SIN,4142.67
2026-03-09 02:00:00,SIN,4043.58
2026-03-09 03:00:00,SIN,3982.79
2026-03-09 04:00:00,SIN,3987.04
2026-03-09 05:00:00,SIN,4103.28
2026-03-09 06:00:00,SIN,4361.2
2026-03-09 07:00:00,SIN,4596.63
2026-03-09 08:00:00,SIN,4767.35
2026-03-09 09:00:00,SIN,4841.87
2026-03-09 10:00:00,SIN,4864.36
2026-03-09 11:00:00,SIN,4875.64
2026-03-09 12:00:00,SIN,4896.3
2026-03-09 13:00:00,SIN,4920.09
2026-03-09 14:00:00,SIN,4987.64
2026-03-09 15:00:00,SIN,5083.32
2026-03-09 16:00:00,SIN,5176.62
2026-03-09 17:00:00,SIN,5237.21
2026-03-09 18:00:00,SIN,5344.92
2026-03-09 19:00:00,SIN,5516.46
2026-03-09 20:00:00,SIN,5487.53
2026-03-09 21:00:00,SIN,5345.63
2026-03-09 22:00:00,SIN,5127.65
2026-03-09 23:00:00,SIN,4886.17
