snapshot,zona,demand_mw
2026-03-03 00:00:00,BCA,1401.89
2026-03-03 01:00:00,BCA,1358.26
2026-03-03 02:00:00,BCA,1328.64
2026-03-03 03:00:00,BCA,1320.07
2026-03-03 04:00:00,BCA,1338.05
2026-03-03 05:00:00,BCA,1400.5
2026-03-03 06:00:00,BCA,1501.87
2026-03-03 07:00:00,BCA,1589.86
2026-03-03 08:00:00,BCA,1636.06
2026-03-03 09:00:00,BCA,1657.93
2026-03-03 10:00:00,BCA,1688.76
2026-03-03 11:00:00,BCA,1711.28
2026-03-03 12:00:00,BCA,1720.73
2026-03-03 13:00:00,BCA,1738.5
2026-03-03 14:00:00,BCA,1753.72
2026-03-03 15:00:00,BCA,1761.81
2026-03-03 16:00:00,BCA,1764.21
2026-03-03 17:00:00,BCA,1806.88
2026-03-03 18:00:00,BCA,1815.35
2026-03-03 19:00:00,BCA,1803.36
2026-03-03 20:00:00,BCA,1778.84
2026-03-03 21:00:00,BCA,1714.37
2026-03-03 22:00:00,BCA,1621.19
2026-03-03 23:00:00,BCA,1517.13
2026-03-03 00:00:00,BCS,274.98
2026-03-03 01:00:00,BCS,264.08
2026-03-03 02:00:00,BCS,255.19
2026-03-03 03:00:00,BCS,250.77
2026-03-03 04:00:00,BCS,251.37
2026-03-03 05:00:00,BCS,262.87
2026-03-03 06:00:00,BCS,282.17
2026-03-03 07:00:00,BCS,296.26
2026-03-03 08:00:00,BCS,309.98
2026-03-03 09:00:00,BCS,322.12
2026-03-03 10:00:00,BCS,330.92
2026-03-03 11:00:00,BCS,336.35
2026-03-03 12:00:00,BCS,339.63
2026-03-03 13:00:00,BCS,343.53
2026-03-03 14:00:00,BCS,350.03
2026-03-03 15:00:00,BCS,355.21
2026-03-03 16:00:00,BCS,358.8
2026-03-03 17:00:00,BCS,356.97
2026-03-03 18:00:00,BCS,364.93
2026-03-03 19:00:00,BCS,363.93
2026-03-03 20:00:00,BCS,354.81
2026-03-03 21:00:00,BCS,339.86
2026-03-03 22:00:00,BCS,315.45
2026-03-03 23:00:00,BCS,290.66
2026-03-03 00:00:00,SIN,32487.16
2026-03-03 01:00:00,SIN,31286.77
2026-03-03 02:00:00,SIN,30591.99
2026-03-03 03:00:00,SIN,30204.59
2026-03-03 04:00:00,SIN,30256.19
2026-03-03 05:00:00,SIN,30997.08
2026-03-03 06:00:00,SIN,32583.04
2026-03-03 07:00:00,SIN,33986.11
2026-03-03 08:00:00,SIN,34944.77
2026-03-03 09:00:00,SIN,35342.72
2026-03-03 10:00:00,SIN,35321.91
2026-03-03 11:00:00,SIN,35351.32
2026-03-03 12:00:00,SIN,35468.89
2026-03-03 13:00:00,SIN,35593.8
2026-03-03 14:00:00,SIN,35948.51
2026-03-03 15:00:00,SIN,36777.03
2026-03-03 16:00:00,SIN,37463.82
2026-03-03 17:00:00,SIN,37717.21
2026-03-03 18:00:00,SIN,38366.32
2026-03-03 19:00:00,SIN,39404.96
2026-03-03 20:00:00,SIN,39099.63
2026-03-03 21:00:00,SIN,38073.9
2026-03-03 22:00:00,SIN,36667.13
2026-03-03 23:00:00,SIN,34939.55
